precipitacao;temperatura;umidade;velocidade
0;22,34;70,5;2,34296
0;22,78;82,25;3
0,7;21,94;83,25;0,966667
0;22,34;80,5;1,7148
35,2;21,12;77,25;1,7148
7,6;21,6;81,5;2,05776
11,3;22,68;77,5;1,02888
11,4;20,5;83;1,02888
0;21,48;80,75;2,40072
1,6;20,98;84,5;2,40072
11,3;21,28;75,5;2,05776
0,5;20,38;82,75;3,77256
0;20,82;81,75;2,40072
5,4;21,76;76;3,08664
4,4;20,78;83,5;1,7148
5,8;22,04;75,75;2,74368
8;21,12;86;2,05776
0,2;21,7;85,5;0
10,4;19,82;92;2,40072
52,8;21,16;78,5;2,40072
1,6;19,58;93;2,05776
12,6;20,06;84,25;2,05776
1;21,16;81;1,37184
21,3;21,74;74,25;2,74368
0,8;22,12;72,5;2,05776
0;21,66;76,5;1,37184
0;23,56;67,5;3,77256
0;23,32;65,75;2,40072
0;23,62;55,75;2,74368
0;24,28;59;1,37184
0;23,56;58,75;2,40072
0,1;21,1;66,25;1,7148
43;20,52;82,5;0,34296
0,1;20,82;80;2,05776
1,5;22,3;61,75;2,40072
0;21,5;81,5;2,05776
0,8;22,02;74;2,40072
2;22,16;59,5;2,05776
0;22,88;53,25;2,05776
0;23,4;59,75;1,02888
0;22,5;72,5;1,7148
8,2;21,84;85,25;3,08664
12,6;21,86;83;1,37184
0,3;21,84;83,25;1,7148
2,3;21,8;88,25;0
24;22,3;72;3,08664
0;23,06;68;2,05776
0;22,44;77;0,68592
6,9;23,08;55;2,40072
0;23,5;53;1,7148
0;22,5;66,5;1,37184
0;21,8;64,25;3,77256
0;21,84;69,75;3,08664
0;22,32;71,25;0
0;22,84;65,5;1,37184
0;23,04;73,25;1,02888
0;24,4;56,5;2,40072
0;23,86;58,5;3,08664
0;23,82;56,25;3,77256
0;23,5;67,5;1,02888
0;23,1;56,75;2,74368
0;23,8;52;3,08664
0;23,12;51,5;3,4296
0;22,96;51,75;3,08664
0;23,34;50,75;2,74368
0;22,8;53,5;2,05776
0;24,04;52,25;3,08664
0;23,56;59,5;2,40072
1,1;22,08;73,75;0,68592
0;24,3;62,75;2,05776
0;22,84;77,25;1,37184
0,1;22,96;79,25;0,34296
0;22,2;78;1,37184
0;22,22;86,75;1,02888
18,1;23,46;70,75;0,34296
0;22,16;73,75;1,7148
0;21,64;62,25;1,37184
0;21,88;68,25;3,08664
0;21,82;68;3,08664
0;21,7;60,5;2,74368
0;21,72;56,75;1,7148
0;21,92;48,5;2,05776
0;21,76;60,75;1,37184
0;21,68;76;2,05776
1,6;22,84;60;2,40072
0;23,54;56;5,1444
0;22,06;61,75;2,40072
0;22,08;60;3,08664
0;22,12;62,5;2,74368
0;22,2;58,5;3,77256
0;21,46;52;2,74368
0;21,22;52;2,40072
0;22,38;48,75;2,74368
0;22,4;58;2,40072
0;22,68;63;2,74368
0;21,88;79,25;0
0;21,64;76,75;1,37184
13,3;22,52;67,75;3,08664
0;22,42;59,75;2,40072
0;21,66;59;2,40072
0;19,82;64;2,05776
0;19,94;65,75;0,34296
0;21,48;63,5;1,37184
0;22,28;62,25;2,40072
0;21,76;61,5;2,40072
0;22,2;60,75;1,7148
0;21,38;76,75;1,02888
0;18,84;78,25;1,37184
0;12,18;47,75;2,40072
0;11,64;57;1,7148
0;13,22;56,75;1,37184
0;17,24;39,25;2,05776
0;17,2;55;1,37184
0;19,88;53;3,77256
0;19,78;56,5;3,08664
0;18,24;53,5;3,77256
0;18,88;62,5;3,4296
0;19,42;67,25;3,08664
0;19,24;59;1,7148
0;18,28;54,25;1,37184
0;19,96;52,25;2,05776
0;21,14;38;2,05776
0;20,86;43;3,08664
0;20,58;50;1,7148
0;20,64;48;3,08664
0;20,36;54;2,74368
0;18,66;65,25;3,08664
0;19,06;54,75;2,40072
0;19,98;56,25;2,40072
0;21,28;41,5;2,05776
0;20,2;51,25;2,05776
0;21,14;51,75;1,7148
0;19,04;71,25;1,37184
0;19,64;72,75;1,7148
0;19,9;63,75;2,40072
0,2;20,72;52,75;3,4296
0;20,1;67,75;3,08664
0;20;55,25;2,05776
0;19,04;40,25;1,37184
0;19,9;58,5;1,37184
0;19,72;48,25;2,05776
0;20,02;53,75;3,08664
0;19,54;53;4,45848
0;20,3;53,5;3,4296
0;19,84;51;2,05776
0;19,8;51,5;3,77256
0;19,18;44;2,40072
0;19,02;49,5;1,7148
0;18,98;51,75;3,77256
0;18,44;52,75;1,7148
0;18,72;51;1,37184
0;19,28;46,25;3,08664
0;17,88;62,75;1,02888
0;19,34;53,25;3,08664
0;18,76;58;4,45848
0;17,7;47,5;6,17328
0;18,5;56;2,40072
0;18,32;55;1,7148
0;19,28;63,25;1,7148
0;19,54;60;2,05776
0;18,14;59,5;2,74368
0;18,38;56,75;3,77256
0;17,74;61,5;3,4296
0;18,32;51;1,7148
0;19,9;41;2,40072
0;19,82;51;2,74368
0;19,54;49;2,40072
0;19,46;52,25;1,02888
0;19,88;44,5;2,05776
0;19,22;46,75;3,77256
0;19,26;57,25;2,05776
0;18,94;51,5;4,11552
0;19,44;51,75;3,4296
0;19,26;46;3,77256
0;19,36;43,75;2,40072
0;19,86;46,5;4,45848
0;19,88;48,25;2,40072
0;18,72;50,5;2,05776
0;18,08;54;3,08664
0;18,8;52,5;2,05776
0;19,5;42,5;1,37184
0;20,54;50,25;2,40072
0;21,32;37,5;2,05776
0;21,36;43,5;1,02888
0;22,28;41,25;2,40072
0;21,92;41;4,11552
0;21,14;42,25;2,40072
0;21,1;39;1,02888
0;21,7;36,25;1,02888
0;22,9;36,5;1,37184
0;23,8;36;2,40072
0;21,78;50,75;2,05776
0;20,58;57,75;2,40072
0;16,94;44,75;2,05776
0;20,4;38,5;2,05776
0;20,9;49;1,54332
0;21,18;42,25;2,40072
0;21,16;36,75;2,05776
0;22,2;37,75;1,37184
0;22,58;33,25;3,77256
0;22,52;36,75;1,7148
0;22,02;41,75;1,02888
0;19,72;45,25;6,34476
0;18,98;47,25;5,48736
0;19,26;43,25;3,77256
0;19,5;43,75;3,4296
0;20,34;38;9,25992
0;21,18;38,5;3,77256
0;21,28;39,25;2,05776
0;21,36;40,75;2,40072
0;22,2;37,5;3,4296
0;21,84;40;2,05776
0;21,76;39,75;3,4296
0;19,32;53,25;3,77256
0;18,72;37,5;3,77256
0;22,36;22,5;2,74368
0;23,44;26,25;4,11552
0;24,02;24,75;3,08664
0;21,74;48,75;5,83032
